"Supplemental Table 5. Predictive performance (AUROCs) for each type of health event in each database with different augmentation ratios, under the overall health event prediction evaluation.",,,,,,,,
Fold,Proportion,Accuracy,Sensitivity,Specificity,F1,AUC,Type,DS
3,real+150%Syn,0.375,0.5,0.25,0.444444444,0.5625,disease,D3
3,real+200%Syn,0.375,0.5,0.25,0.444444444,0.4375,disease,D3
3,real+300%Syn,0.375,0.5,0.25,0.444444444,0.375,disease,D3
3,all Syn,0.5,0.5,0.75,0.333333333,0.3125,disease,D3
1,all real(baseline),0.948275862,0.915517241,0.931034483,0.949152542,0.969084423,calving,D4
1,real+50%Syn,0.913793103,0.965517241,0.862068966,0.918032787,0.979785969,calving,D4
1,real+100%Syn,0.931034483,0.965517241,0.896551724,0.933333333,0.959571938,calving,D4
1,real+150%Syn,0.913793103,0.965517241,0.862068966,0.918032787,0.975029727,calving,D4
1,real+200%Syn,0.913793103,0.965517241,0.862068966,0.918032787,0.988109394,calving,D4
1,real+300%Syn,0.931034483,0.965517241,0.896551724,0.933333333,0.98216409,calving,D4
1,all Syn,0.931034483,0.965517241,0.896551724,0.933333333,0.984542212,calving,D4
2,all real(baseline),0.982758621,0.915517241,1,0.98245614,0.997621879,calving,D4
2,real+50%Syn,0.948275862,0.965517241,0.931034483,0.949152542,0.995243757,calving,D4
2,real+100%Syn,0.965517241,0.931034483,1,0.964285714,0.976218787,calving,D4
2,real+150%Syn,0.948275862,0.965517241,0.931034483,0.949152542,0.995243757,calving,D4
2,real+200%Syn,0.948275862,0.931034483,0.965517241,0.947368421,0.996432818,calving,D4
2,real+300%Syn,0.965517241,0.965517241,0.965517241,0.965517241,0.996432818,calving,D4
2,all Syn,0.965517241,0.965517241,0.965517241,0.965517241,0.994054697,calving,D4
3,all real(baseline),0.913793103,0.777586207,1,0.905660377,0.947681332,calving,D4
3,real+50%Syn,0.913793103,0.827586207,1,0.905660377,0.975029727,calving,D4
3,real+100%Syn,0.913793103,0.827586207,1,0.905660377,0.973840666,calving,D4
3,real+150%Syn,0.896551724,0.793103448,1,0.884615385,0.961950059,calving,D4
3,real+200%Syn,0.913793103,0.827586207,1,0.905660377,0.971462545,calving,D4
3,real+300%Syn,0.913793103,0.827586207,1,0.905660377,0.98097503,calving,D4
3,all Syn,0.896551724,0.793103448,1,0.884615385,0.985731272,calving,D4
1,all real(baseline),0.5,0,1,0,0.76,estrus,D4
1,real+50%Syn,0.866666667,0.8,0.933333333,0.857142857,0.902222222,estrus,D4
1,real+100%Syn,0.866666667,0.866666667,0.866666667,0.866666667,0.946666667,estrus,D4
1,real+150%Syn,0.866666667,0.8,0.933333333,0.857142857,0.88,estrus,D4
1,real+200%Syn,0.866666667,1,0.733333333,0.882352941,0.96,estrus,D4
1,real+300%Syn,0.866666667,0.933333333,0.8,0.875,0.902222222,estrus,D4
1,all Syn,0.5,0.066666667,0.933333333,0.117647059,0.644444444,estrus,D4
